lineId,parentId,stationId,icsId,topMostParentId,direction,towards,stopType,stopLetter,id,name,lat,lon
N1,490G00013459,490G00013459,1013459,490G00013459,inbound,Woolwich,NaptanPublicBusCoachTram,SF,490013459W,Titmuss Avenue,51.502909,0.116642
N1,490G00012364,490G00012364,1012364,490G00012364,inbound,Thamesmead Town Centre Or Woolwich,NaptanPublicBusCoachTram,SG,490012364N,Southwood Road,51.502135,0.112715
N1,490G00007923,490G00007923,1007923,490G00007923,inbound,Woolwich,NaptanPublicBusCoachTram,SH,490007923N,Hawksmoor School,51.50414,0.111252
N1,490G00007092,490G00007092,1007092,490G00007092,inbound,Woolwich,NaptanPublicBusCoachTram,F,490007092F,Gallions Reach Health Centre,51.506113,0.110032
N1,490G00013214,490G00013214,1013214,490G00013214,inbound,"Abbey Wood, Belvedere Or Woolwich",NaptanPublicBusCoachTram,A,490013214A,Thamesmead Town Centre,51.507427,0.108968
N1,490G00009198,490G00009198,1009198,490G00009198,inbound,"Abbey Wood, Belvedere Or Woolwich",NaptanPublicBusCoachTram,D,490009198D,Linton Mead Primary School,51.507467,0.11276
N1,490G00008405,490G00008405,1008405,490G00008405,inbound,"Abbey Wood, Belvedere Or Woolwich",NaptanPublicBusCoachTram,NA,490008405E,Hoveton Road,51.509317,0.116377
N1,490G00010268,490G00010268,1010268,490G00010268,inbound,"Abbey Wood, Belvedere Or Woolwich",NaptanPublicBusCoachTram,NE,490010268E,Nickelby Close,51.50952,0.120061
N1,490G00006355,490G00006355,1006355,490G00006355,inbound,"Abbey Wood, Belvedere Or Woolwich",NaptanPublicBusCoachTram,NG,490006355S,Eastgate Close,51.508987,0.126175
N1,490G00009206,490G00009206,1009206,490G00009206,inbound,"Abbey Wood, Belvedere Or Woolwich",NaptanPublicBusCoachTram,NH,490009206W,Lister Walk,51.50665,0.1266
N1,490G00011113,490G00011113,1011113,490G00011113,inbound,"Abbey Wood, Belvedere Or Woolwich",NaptanPublicBusCoachTram,SE,490011113W,Poplar Place,51.506061,0.12137
N1,490G00004130,490G00004130,1004130,490G00004130,inbound,Abbey Wood Or Belvedere,NaptanPublicBusCoachTram,SJ,490004130S,Thamesmead / Carlyle Road,51.503726,0.119201
N1,490G00010190,490G00010190,1010190,490G00010190,inbound,Erith Or Plumstead,NaptanPublicBusCoachTram,->S,490010190S,Southmere Lake,51.498727,0.121649
N1,490G00013257,490G00013257,1013257,490G00013257,inbound,Bexleyheath Or Erith,NaptanPublicBusCoachTram,B,490013257B,Harrow Manorway / Yarnton Way,51.495228,0.121199
N1,490G00010675,490G00010675,1010675,490G00010675,inbound,Bexleyheath Or Erith,NaptanPublicBusCoachTram,BA,490010675BA,Overton Road,51.493482,0.12129
